x,y
0.571,0.865
0.489,0.001
0.523,0.001
0.528,0.301
0.498,0.999
0.442,0.365
0.549,0.001
0.584,0.971
0.426,0.500
0.540,0.135
0.473,0.816
0.528,0.184
0.419,0.635
0.500,0.699
0.423,0.432
0.593,0.001
0.557,0.568
0.519,0.944
0.456,0.760
0.444,0.908
0.501,0.990
0.405,0.240
0.526,0.001
1.447,0.135
1.541,0.944
1.525,0.135
1.529,0.135
1.572,0.999
1.519,0.816
1.511,0.135
1.524,0.699
1.550,0.500
1.419,0.971
1.515,0.990
1.517,0.135
1.420,0.135
1.501,0.135
1.480,0.135
1.410,0.865
1.565,0.135
1.488,0.635
1.478,0.135
1.523,0.908
1.530,0.001
1.501,0.760
1.491,0.568
2.471,0.500
2.516,0.500
2.486,0.500
2.473,0.001
2.464,0.500
2.582,0.500
2.447,0.500
2.511,0.010
2.578,0.865
2.471,0.056
2.512,0.971
2.474,0.500
2.418,0.135
2.506,0.500
2.547,0.500
2.555,0.908
2.582,0.092
2.498,0.999
2.430,0.990
2.597,0.029
2.447,0.500
2.595,0.500
2.570,0.944
3.501,0.865
3.552,0.999
3.461,0.865
3.500,0.240
3.567,0.135
3.458,0.500
3.464,0.865
3.556,0.365
3.440,0.056
3.571,0.865
3.460,0.010
3.527,0.301
3.589,0.865
3.547,0.865
3.417,0.865
3.573,0.184
3.595,0.432
3.599,0.092
3.546,0.865
3.521,0.029
3.401,0.001
3.477,0.865
3.457,0.865
4.498,0.301
4.502,0.568
4.475,0.001
4.441,0.999
4.556,0.999
4.525,0.135
4.563,0.240
4.576,0.816
4.429,0.010
4.475,0.999
4.593,0.999
4.505,0.760
4.419,0.029
4.419,0.056
4.580,0.500
4.579,0.865
4.522,0.092
4.483,0.365
4.536,0.699
4.428,0.635
4.475,0.432
4.490,0.999
4.421,0.184
5.545,0.135
5.493,0.865
5.592,0.135
5.502,0.865
5.497,0.865
5.467,0.999
5.507,0.135
5.593,0.135
5.451,0.135
5.476,0.500
5.473,0.135
5.424,0.135
5.584,0.135
5.597,0.865
5.525,0.865
5.545,0.135
5.524,0.135
5.401,0.865
5.424,0.865
5.556,0.865
5.494,0.865
5.502,0.865
5.460,0.001
6.517,0.001
6.595,0.010
6.472,0.029
6.565,0.056
6.440,0.092
6.434,0.135
6.571,0.184
6.465,0.240
6.501,0.301
6.441,0.365
6.562,0.432
6.450,0.500
6.423,0.568
6.457,0.635
6.597,0.699
6.444,0.760
6.547,0.816
6.449,0.865
6.568,0.908
6.598,0.944
6.588,0.971
6.507,0.990
6.471,0.999
7.488,0.001
7.511,0.135
7.573,0.317
7.500,0.500
7.462,0.683
7.448,0.865
7.428,0.999
